Ministry_05_06,Matched_Ministry_21_22,Match_Score,Match_Method
Agriculture and Cooperation,1.    Department of Agriculture Cooperation and Farmers' Welfare,100,token_set
Shipping,77.    Ministry of Ports Shipping and Waterways,100,partial_ratio
Scientific and Industrial Research,90.    Department of Scientific and Industrial Research,100,ratio
Science and Technology,88.    Department of Science and Technology,100,ratio
Land Resources,87.    Department of Land Resources,100,ratio
Rural Development,86.    Department of Rural Development,100,ratio
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President",82.    Secretariat of the Vice-President,100,partial_ratio
Power,78.    Ministry of Power,100,ratio
Planning,76.    Ministry of Planning,100,ratio
Petroleum and Natural Gas,75.    Ministry of Petroleum and Natural Gas,100,ratio
"Personnel, Public Grievances and Pensions",39.    Pensions,100,partial_ratio
Parliamentary Affairs,72.    Ministry of Parliamentary Affairs,100,ratio
Panchayati Raj@,71.    Ministry of Panchayati Raj,100,ratio
Agricultural Research and Education,2.    Department of Agricultural Research and Education,100,ratio
Supreme Court of India,66.    Supreme Court of India,100,ratio
Law and Justice,64.    Law and Justice,100,ratio
Election Commission,65.    Election Commission,100,ratio
Biotechnology,89.    Department of Biotechnology,100,ratio
Road Transport and Highways,85.    Ministry of Road Transport and Highways,100,ratio
Information and Broadcasting,60.    Ministry of Information and Broadcasting,100,ratio
Social Justice and Empowerment,78.    Ministry of Power,100,partial_ratio
Daman & Diu,53.    Dadra and Nagar Haveli  and Daman and Diu,100,partial_ratio
Dadra & Nagar Haveli,53.    Dadra and Nagar Haveli  and Daman and Diu,100,partial_ratio
Chandigarh,52.    Chandigarh,100,ratio
Andaman & Nicobar Islands,51.    Andaman and Nicobar Islands,100,ratio
North Eastern Region,22.    Ministry of Development of North Eastern Region,100,partial_ratio
Railways,84.    Ministry of Railways,100,ratio
Youth Affairs and Sports,101.    Ministry of Youth Affairs and Sports,100,ratio
Water Resources,61.    Department of Water Resources River Development and Ganga Rejuvenation,100,partial_ratio
Urban Development,59.    Ministry of Housing and Urban Affairs,100,ratio
Tribal Affairs,99.    Ministry of Tribal Affairs,100,ratio
Tourism,98.    Ministry of Tourism,100,ratio
Textiles,97.    Ministry of Textiles,100,ratio
Steel,96.    Ministry of Steel,100,ratio
Statistics and Programme Implementation,95.    Ministry of Statistics and Programme Implementation,100,ratio
Space,94.    Department of Space,100,ratio
Labour and Employment,63.    Ministry of Labour and Employment,100,ratio
Lakshadweep,55.    Lakshadweep,100,ratio
Women and Child Development,100.    Ministry of Women and Child Development,100,ratio
Defence Services,18.    Ministry of Defence (Civil),100,partial_ratio
Culture,1.    Department of Agriculture Cooperation and Farmers' Welfare,100,partial_ratio
Secondary Education and Higher Education,25.    Department of Higher Education,100,ratio
Consumer Affairs,14.    Department of Consumer Affairs,100,ratio
Company Affairs,16.    Ministry of Corporate Affairs,100,ratio
Information Technology,26.    Ministry of Electronics and Information Technology,100,ratio
Telecommunications,13.    Department of Telecommunications,100,ratio
Posts,12.    Department of Posts,100,ratio
Industrial Policy and Promotion,11.    Department for Promotion of Industry and Internal Trade,100,ratio
Commerce,10.    Department of Commerce,100,ratio
Mines,68.    Ministry of Mines,100,ratio
Coal,9.    Ministry of Coal,100,ratio
Civil Aviation,8.    Ministry of Civil Aviation,100,ratio
Fertilisers,6.    Department of Fertilisers,100,ratio
Atomic Energy,3.    Atomic Energy,100,ratio
Animal Husbandry and Dairying,42.    Department of Animal Husbandry and Dairying,100,ratio
Defence (Civil estimates),18.    Ministry of Defence (Civil),100,ratio
Food and Public Distribution,15.    Department of Food and Public Distribution,100,ratio
Development of North Eastern Region,22.    Ministry of Development of North Eastern Region,100,ratio
Public Enterprises,47.    Department of Public Enterprises,100,ratio
Environment and Forests,27.    Ministry of Environment Forests and Climate Change,100,ratio
Heavy Industry,46.    Department of Heavy Industry,100,ratio
Family Welfare,44.    Department of Health and Family Welfare,100,partial_ratio
Home Affairs,48.    Ministry of Home Affairs,100,ratio
Health,44.    Department of Health and Family Welfare,100,partial_ratio
Food Processing Industries,43.    Ministry of Food Processing Industries,100,ratio
Expenditure,30.    Department of Expenditure,100,ratio
Economic Affairs (centralised provisions),29.    Department of Economic Affairs,100,ratio
External Affairs,28.    Ministry of External Affairs,100,ratio
Elementary Education and Literacy,24.    Department of School Education and Literacy,100,ratio
Chemicals and Petro-Chemicals,5.    Department of Chemicals and Petrochemicals,98,ratio
Finance,31.    Department of Financial Services,92,partial_ratio
Disinvestment,32.    Department of Investment and Public Asset Management (DIPAM),87,partial_ratio
Ocean Development,86.    Department of Rural Development,84,partial_ratio
Drinking Water Supply,62.    Department of Drinking Water and Sanitation,83,partial_ratio
Overseas Indian Affairs@,48.    Ministry of Home Affairs,80,partial_ratio
Central Pool of Resources for NE and Sikkim,87.    Department of Land Resources,79,partial_ratio
UNION TERRITORIES,98.    Ministry of Tourism,77,partial_ratio
Union Territories with Legislature,17.    Ministry of Culture,77,partial_ratio
Union Territories without Legislature,17.    Ministry of Culture,77,partial_ratio
Pondicherry,58.    Transfers to Puducherry,76,partial_ratio
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",4.    Ministry of Ayurveda Yoga and Naturopathy Unani Siddha and Homoeopathy (AYUSH),75,partial_ratio
Agro and Rural Industries,68.    Ministry of Mines,75,partial_ratio
Small Scale Industries,9.    Ministry of Coal,75,partial_ratio
Non-Conventional Energy Sources,9.    Ministry of Coal,75,partial_ratio
DONER,,0,
