Ministry_05_06,Matched_Ministry_22_23,Match_Score,Match_Method
Agriculture and Cooperation,16.    Ministry of Cooperation,100,partial_ratio
"Personnel, Public Grievances and Pensions",41.    Pensions,100,partial_ratio
Land Resources,88.    Department of Land Resources,100,ratio
Rural Development,87.    Department of Rural Development,100,ratio
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President",83.    Secretariat of the Vice-President,100,partial_ratio
Power,79.    Ministry of Power,100,ratio
Planning,77.    Ministry of Planning,100,ratio
Petroleum and Natural Gas,76.    Ministry of Petroleum and Natural Gas,100,ratio
Parliamentary Affairs,73.    Ministry of Parliamentary Affairs,100,ratio
Secondary Education and Higher Education,26.    Department of Higher Education,100,ratio
Panchayati Raj@,72.    Ministry of Panchayati Raj,100,ratio
Agricultural Research and Education,2.    Department of Agricultural Research and Education,100,ratio
Supreme Court of India,67.    Supreme Court of India,100,ratio
Law and Justice,65.    Law and Justice,100,ratio
Labour and Employment,64.    Ministry of Labour and Employment,100,ratio
Information and Broadcasting,61.    Ministry of Information and Broadcasting,100,ratio
Science and Technology,89.    Department of Science and Technology,100,ratio
Scientific and Industrial Research,91.    Department of Scientific and Industrial Research,100,ratio
Biotechnology,90.    Department of Biotechnology,100,ratio
Shipping,78.    Ministry of Ports Shipping and Waterways,100,partial_ratio
Road Transport and Highways,86.    Ministry of Road Transport and Highways,100,ratio
Social Justice and Empowerment,79.    Ministry of Power,100,partial_ratio
Space,95.    Department of Space,100,ratio
Statistics and Programme Implementation,96.    Ministry of Statistics and Programme Implementation,100,ratio
Steel,97.    Ministry of Steel,100,ratio
Textiles,98.    Ministry of Textiles,100,ratio
Tourism,99.    Ministry of Tourism,100,ratio
Tribal Affairs,100.    Ministry of Tribal Affairs,100,ratio
Urban Development,60.    Ministry of Housing and Urban Affairs,100,ratio
Water Resources,62.    Department of Water Resources River Development and Ganga Rejuvenation,100,partial_ratio
Youth Affairs and Sports,102.    Ministry of Youth Affairs and Sports,100,ratio
Railways,85.    Ministry of Railways,100,ratio
North Eastern Region,23.    Ministry of Development of North Eastern Region,100,partial_ratio
Women and Child Development,101.    Ministry of Women and Child Development,100,ratio
Election Commission,66.    Election Commission,100,ratio
Elementary Education and Literacy,25.    Department of School Education and Literacy,100,ratio
Industrial Policy and Promotion,11.    Department for Promotion of Industry and Internal Trade,100,ratio
Food and Public Distribution,15.    Department of Food and Public Distribution,100,ratio
Home Affairs,49.    Ministry of Home Affairs,100,ratio
Company Affairs,17.    Ministry of Corporate Affairs,100,ratio
Information Technology,27.    Ministry of Electronics and Information Technology,100,ratio
Telecommunications,13.    Department of Telecommunications,100,ratio
Posts,12.    Department of Posts,100,ratio
Commerce,10.    Department of Commerce,100,ratio
Defence (Civil estimates),19.    Ministry of Defence (Civil),100,ratio
Mines,69.    Ministry of Mines,100,ratio
Coal,9.    Ministry of Coal,100,ratio
Civil Aviation,8.    Ministry of Civil Aviation,100,ratio
Fertilisers,6.    Department of Fertilisers,100,ratio
Atomic Energy,3.    Atomic Energy,100,ratio
Animal Husbandry and Dairying,44.    Department of Animal Husbandry and Dairying,100,ratio
Culture,1.    Department of Agriculture and Farmers Welfare,100,partial_ratio
Consumer Affairs,14.    Department of Consumer Affairs,100,ratio
Defence Services,19.    Ministry of Defence (Civil),100,partial_ratio
Expenditure,31.    Department of Expenditure,100,ratio
Public Enterprises,33.    Department of Public Enterprises,100,ratio
Family Welfare,46.    Department of Health and Family Welfare,100,partial_ratio
Health,46.    Department of Health and Family Welfare,100,partial_ratio
Food Processing Industries,45.    Ministry of Food Processing Industries,100,ratio
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)",4.    Ministry of Ayush,100,ratio
Andaman & Nicobar Islands,52.    Andaman and Nicobar Islands,100,ratio
External Affairs,29.    Ministry of External Affairs,100,ratio
Development of North Eastern Region,23.    Ministry of Development of North Eastern Region,100,ratio
Economic Affairs (centralised provisions),30.    Department of Economic Affairs,100,ratio
Environment and Forests,28.    Ministry of Environment Forests and Climate Change,100,ratio
Chemicals and Petro-Chemicals,5.    Department of Chemicals and Petrochemicals,98,ratio
Heavy Industry,48.    Ministry of Heavy Industries,96,partial_ratio
Finance,32.    Department of Financial Services,92,partial_ratio
Disinvestment,34.    Department of Investment and Public Asset Management (DIPAM),87,partial_ratio
Small Scale Industries,48.    Ministry of Heavy Industries,86,partial_ratio
Daman & Diu,52.    Andaman and Nicobar Islands,85,partial_ratio
Ocean Development,87.    Department of Rural Development,84,partial_ratio
Drinking Water Supply,63.    Department of Drinking Water and Sanitation,83,partial_ratio
Agro and Rural Industries,48.    Ministry of Heavy Industries,83,partial_ratio
Overseas Indian Affairs@,49.    Ministry of Home Affairs,80,partial_ratio
Central Pool of Resources for NE and Sikkim,88.    Department of Land Resources,79,partial_ratio
Union Territories without Legislature,18.    Ministry of Culture,77,partial_ratio
UNION TERRITORIES,99.    Ministry of Tourism,77,partial_ratio
Union Territories with Legislature,18.    Ministry of Culture,77,partial_ratio
Non-Conventional Energy Sources,9.    Ministry of Coal,75,partial_ratio
Pondicherry,,0,
Chandigarh,,0,
Dadra & Nagar Haveli,,0,
DONER,,0,
Lakshadweep,,0,
